"","V1","Link","Title","Authors","Contributors","ISBN.UID","Format","Read.Status","Date.Added","Last.Date.Read","Dates.Read","Read.Count","Moods","Pace","Character..or.Plot.Driven.","Strong.Character.Development.","Loveable.Characters.","Diverse.Characters.","Flawed.Characters.","Star.Rating","Review","Content.Warnings","Content.Warning.Description","Tags","Owned.","Description","FRE","adventurous","challenging","dark","emotional","funny","hopeful","informative","inspiring","lighthearted","mysterious","reflective","relaxing","sad","tense","recc","recc_yes_prob"
"95",500,"https://app.thestorygraph.com/books/cf5ea181-eb25-4b24-a0cc-80ed718a395b","Can't Spell Treason Without Tea","Rebecca Thorne","","9.80E+12","paperback","to-read","1/1/2024",NA,NA,0,"adventurous, lighthearted, relaxing","medium","A mix","Yes","Yes","Yes","No",NA,NA,NA,NA,NA,"No","All Reyna and Kianthe want is to open a bookshop that serves tea. Worn wooden floors, plants on every table, firelight drifting between the rafters… all complemented by love and good company. Thing is, Reyna works as one of the Queen’s private guards, and Kianthe is the most powerful mage in existence. Leaving their lives isn’t so easy.But after an assassin takes Reyna hostage, she decides she’s thoroughly done risking her life for a self-centered queen. Meanwhile, Kianthe has been waiting for a chance to flee responsibility–all the better that her girlfriend is on board. Together, they settle in Tawney, a town nestled in the icy tundra of dragon country, and open the shop of their dreams.What follows is a cozy tale of mishaps, mysteries, and a murderous queen throwing the realm’s biggest temper tantrum. In a story brimming with hurt/comfort and quiet fireside conversations, these two women will discover just what they mean to each other… and the world.&nbsp;",56.69,1,0,0,0,0,0,0,0,1,0,0,1,0,0,"Yes",0.969855736616675
"18",60,"https://app.thestorygraph.com/books/1e424d0d-294b-492e-ab7f-81dd9b9d9d77","Lovely War","Julie Berry","","9.78E+12","hardcover","to-read","2/26/2019",NA,NA,0,"emotional, hopeful, sad","medium","A mix","Yes","Yes","Yes","No",NA,NA,NA,NA,NA,"No","They are Hazel, James, Aubrey, and Colette. A classical pianist from London, a British would-be architect-turned-soldier, a Harlem-born ragtime genius in the U.S. Army, and a Belgian orphan with a gorgeous voice and a devastating past. Their story, as told by goddess Aphrodite, who must spin the tale or face judgment on Mount Olympus, is filled with hope and heartbreak, prejudice and passion, and reveals that, though War is a formidable force, it\'s no match for the transcendent power of Love.&nbsp;Hailed by critics, Lovely War has received seven starred reviews and is an indie bestseller. Author Julie Berry has been called a modern master of historical fiction by Bookpage and a celestially inspired storyteller by the New York Times, and Lovely War is truly her masterwork.",54.36,0,0,0,1,0,1,0,0,0,0,0,0,1,0,"Yes",0.964467684356127
"16",57,"https://app.thestorygraph.com/books/b28b6cb4-1471-4318-a564-1ad53b787a61","The Girl with the Louding Voice","Abi Daré","","9.78E+12","paperback","to-read","1/25/2024",NA,NA,0,"emotional, hopeful, inspiring","medium","Character","Yes","Yes","Yes","No",NA,NA,NA,NA,NA,"No","AN INSTANT NEW YORK TIMES BESTSELLER  A READ WITH JENNA TODAY SHOW BOOK CLUB PICK   \""""Brave, fresh . . . unforgettable.\""""--The New York Times Book Review   \""""A celebration of girls who dare to dream.\""""--Imbolo Mbue, author of Behold the Dreamers (Oprah\'s Book Club pick)   Shortlisted for the Desmond Elliott Prize and recommended by The New York Times, Marie Claire, Vogue, Essence, PopSugar, Daily Mail, Electric Literature, Red, Stylist, Daily Kos,  Library Journal, The Everygirl, and Read It Forward   The unforgettable, inspiring story of a teenage girl growing up in a rural Nigerian village who longs to get an education so that she can find her \""""louding voice\"""" and speak up for herself, The Girl with the Louding Voice is a simultaneously heartbreaking and triumphant tale about the power of fighting for your dreams. Despite the seemingly insurmountable obstacles in her path, Adunni never loses sight of her goal of escaping the life of poverty she was born into so that she can build the future she chooses for herself - and help other girls like her do the same. Her spirited determination to find joy and hope in even the most difficult circumstances imaginable will \""""break your heart and then put it back together again\"""" (Jenna Bush Hager on The Today Show) even as Adunni shows us how one courageous young girl can inspire us all to reach for our dreams...and maybe even change the world.",1.48,0,0,0,1,0,1,0,1,0,0,0,0,0,0,"Yes",0.947542599099608
"84",418,"https://app.thestorygraph.com/books/ac3ea915-993d-4f30-8632-0f91e4ad0704","Project Hail Mary","Andy Weir","","9.78E+12","hardcover","to-read","12/22/2023",NA,NA,0,"adventurous, funny, hopeful","medium","A mix","Yes","Yes","Yes","No",NA,NA,NA,NA,NA,"No","Ryland Grace is the sole survivor on a desperate, last-chance mission—and if he fails, humanity and the earth itself will perish.Except that right now, he doesn’t know that. He can’t even remember his own name, let alone the nature of his assignment or how to complete it.All he knows is that he’s been asleep for a very, very long time. And he’s just been awakened to find himself millions of miles from home, with nothing but two corpses for company.His crewmates dead, his memories fuzzily returning, Ryland realizes that an impossible task now confronts him. Hurtling through space on this tiny ship, it’s up to him to puzzle out an impossible scientific mystery—and conquer an extinction-level threat to our species.And with the clock ticking down and the nearest human being light-years away, he’s got to do it all alone.Or does he?An irresistible interstellar adventure as only Andy Weir could deliver, Project Hail Mary is a tale of discovery, speculation, and survival to rival The Martian—while taking us to places it never dreamed of going.",44.24,1,0,0,0,1,1,0,0,0,0,0,0,0,0,"Yes",0.936876622977131
"30",141,"https://app.thestorygraph.com/books/423917a7-43f9-4408-8df6-d186a407c2db","The Hen Who Dreamed She Could Fly","Sun-mi Hwang","Chi-Young Kim (Translator), Nomoco (Illustrator)","9.78E+12","paperback","to-read","1/1/2024",NA,NA,0,"emotional, hopeful, reflective","fast","Character","Yes","Yes","Yes","No",NA,NA,NA,NA,NA,"Yes","This is the story of a hen named Sprout. No longer content to lay eggs on command, only to have them carted off to the market, she glimpses her future every morning through the barn doors, where the other animals roam free, and comes up with a plan to escape into the wild—and to hatch an egg of her own.",74.87,0,0,0,1,0,1,0,0,0,0,1,0,0,0,"Yes",0.931679695023064
"64",306,"https://app.thestorygraph.com/books/8145fb3d-8156-43f9-be7d-f8c656f81a6d","Divine Rivals","Rebecca Ross","","9.78E+12","hardcover","to-read","6/7/2023",NA,NA,0,"adventurous, emotional, tense","medium","A mix","Yes","Yes","Yes","No",NA,NA,NA,NA,NA,"Yes","When two young rival journalists find love through a magical connection, they must face the depths of hell, in a war among gods, to seal their fate forever.&nbsp; After centuries of sleep, the gods are warring again. But eighteen-year-old Iris Winnow just wants to hold her family together. Her mother is suffering from addiction and her brother is missing from the front lines. Her best bet is to win the columnist promotion at the Oath Gazette. To combat her worries, Iris writes letters to her brother and slips them beneath her wardrobe door, where they vanish—into the hands of Roman Kitt, her cold and handsome rival at the paper. When he anonymously writes Iris back, the two of them forge a connection that will follow Iris all the way to the front lines of battle: for her brother, the fate of mankind, and love. Shadow and Bone meets Lore in Rebecca Ross\'s Divine Rivals, an epic enemies-to-lovers fantasy novel filled with hope and heartbreak, and the unparalleled power of love.",63.73,1,0,0,1,0,0,0,0,0,0,0,0,0,1,"Yes",0.925411857632968
"10",45,"https://app.thestorygraph.com/books/152acec6-0bd1-47c3-bed7-f32bd2c9587e","Where You See Yourself","Claire Forrest","","9.78E+12","hardcover","to-read","1/30/2024",NA,NA,0,"hopeful, inspiring, reflective","medium","Character","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,"No","The stunning debut that Nina LaCour called \""""beautiful\"""" and \""""important.\"""" Where You See Yourself combines an unforgettable coming-of-age tale, a swoon-worthy romance, and much-needed disability representation in this story about Effie, a wheelchair user who\'s determined to follow her dreams.By the time Effie Galanos starts her senior year, it feels like she’s already been thinking about college applications for an eternity—after all, finding a college that will be the perfect fit and be accessible enough for Effie to navigate in her wheelchair presents a ton of considerations that her friends don’t have to worry about.What Effie hasn’t told anyone is that she already knows exactly what school she has her heart set on: a college in NYC with a major in Mass Media &amp; Society that will set her up perfectly for her dream job in digital media. She’s never been to New York, but paging through the brochure, she can picture the person she’ll be there, far from the Minneapolis neighborhood where she\'s lived her entire life. When she finds out that Wilder (her longtime crush) is applying there too, it seems like one more sign from the universe that it’s the right place for her.But it turns out that the universe is full of surprises. As Effie navigates her way through a year of admissions visits, senior class traditions, internal and external ableism, and a lot of firsts—and lasts—she starts to learn that sometimes growing up means being open to a world of possibilities you never even dreamed of. And maybe being more than just friends with Wilder is one of those dreams...",34.6,0,0,0,0,0,1,0,1,0,0,1,0,0,0,"Yes",0.924329077480197
"117",593,"https://app.thestorygraph.com/books/f67696f8-6e37-4f0c-be5b-908f0ec87e38","Most Ardently: A Pride & Prejudice Remix","Gabe Cole Novoa","","9.78E+12","hardcover","to-read","9/8/2023",NA,NA,0,"funny, hopeful","medium","Character","Yes","Yes","Yes","No",NA,NA,NA,NA,NA,"No","In the Remixed Classics series, authors from marginalized backgrounds reinterpret classic works through their own cultural lens to subvert the overwhelming cishet, white, and male canon. This bittersweet Pride &amp; Prejudice remix follows a trans boy yearning for the freedom to live openly, centering queerness in a well-known story of longing and subverting society’s patriarchal and cisheteronormative expectations.London, 1812. Oliver Bennet feels trapped. Not just by the endless corsets, petticoats and skirts he\'s forced to wear on a daily basis, but also by society\'s expectations. The world—and the vast majority of his family and friends—think Oliver is a girl named Elizabeth. He is therefore expected to mingle at balls wearing a pretty dress, entertain suitors regardless of his interest in them, and ultimately become someone\'s wife.But Oliver can\'t bear the thought of such a fate. He finds solace in the few times he can sneak out of his family\'s home and explore the city rightfully dressed as a young gentleman. It\'s during one such excursion when Oliver becomes acquainted with Darcy, a sulky young man who had been rude to \""""Elizabeth\"""" at a recent social function. But in the comfort of being out of the public eye, Oliver comes to find that Darcy is actually a sweet, intelligent boy with a warm heart. And not to mention incredibly attractive.As Oliver is able to spend more time as his true self, often with Darcy, part of him dares begin to hope that his dream of love and life as a man to be possible. But suitors are growing bolder—and even threatening—and his mother is growing more desperate to see him settled into an engagement. Oliver will have to choose: Settle for safety, security, and a life of pretending to be something he\'s not, or risk it all for a slim chance at freedom, love, and a life that can be truly, honestly his own.",53.44,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Yes",0.922831480002872
"98",518,"https://app.thestorygraph.com/books/d73b312b-ca35-403b-8f51-1dd5f0ef980a","Wrath Becomes Her","Aden Polydoros","","9.78E+12","hardcover","to-read","1/30/2024",NA,NA,0,"dark, emotional, sad","medium","A mix","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,"No","Vera was made for vengeance.Lithuania, 1943. The Nazis have killed Ezra’s daughter. He can’t bring Chaya back from the dead, but he can craft something in her image—a golem, infused with pointed rage, to avenge Chaya’s death. A Nazi killer made with kishuf, an ancient and profane magic.When Vera awakens, she can feel her violent purpose—her reason for existing—thrumming within her. But she can feel other things, too: glimpses of a human life lived, of stolen kisses amid the tragedy, and of a grisly death. And when she meets Akiva, she recognizes the boy with soft lips that gave warm kisses. But these memories aren’t hers, and Vera doesn’t know if she gets to have a life beyond what she was made for. If she deserves one.Vera’s strength feels limitless—until she learns that there are others who would use kishuf for means far less noble than avenging a daughter’s death. As she confronts the very basest of humanity, Vera will need more than what her creator gave her: not just a reason to fight, but a reason to live.&nbsp;",76.66,0,0,1,1,0,0,0,0,0,0,0,0,1,0,"Yes",0.915603251978575
"55",273,"https://app.thestorygraph.com/books/757c24e4-91c9-414e-8b46-4d9640988969","With the Fire on High","Elizabeth Acevedo","","9.78E+12","hardcover","to-read","6/17/2019",NA,NA,0,"emotional, hopeful, inspiring","medium","Character","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,"No","From the New York Times bestselling author of the National Book Award-winning title The Poet X comes a dazzling novel in prose about a girl with talent, pride, and a drive to feed the soul that keeps her fire burning bright.Ever since she got pregnant freshman year, Emoni Santiago\'s life has been about making the tough decisions--doing what has to be done for her daughter and her abuela.The one place she can let all that go is in the kitchen, where she adds a little something magical to everything she cooks, turning her food into straight-up goodness.&nbsp;Even though she dreams of working as a chef after she graduates, Emoni knows that it\'s not worth her time to pursue the impossible. Yet despite the rules she thinks she has to play by, once Emoni starts cooking, her only choice is to let her talent break free.&nbsp;Plus don\'t miss Elizabeth Acevedo\'s Clap When You Land&nbsp;",10.75,0,0,0,1,0,1,0,1,0,0,0,0,0,0,"Yes",0.904349782522952
