"","V1","Link","Title","Authors","Contributors","ISBN.UID","Format","Read.Status","Date.Added","Last.Date.Read","Dates.Read","Read.Count","Moods","Pace","Character..or.Plot.Driven.","Strong.Character.Development.","Loveable.Characters.","Diverse.Characters.","Flawed.Characters.","Star.Rating","Review","Content.Warnings","Content.Warning.Description","Tags","Owned.","Description","FRE","adventurous","challenging","dark","emotional","funny","hopeful","informative","inspiring","lighthearted","mysterious","reflective","relaxing","sad","tense","recc"
"92",119,"https://app.thestorygraph.com/books/37b151ba-eeeb-4c98-b4f8-97a2af576492","On Earth We're Briefly Gorgeous","Ocean Vuong","","9.78E+12","hardcover","read","4/10/2022","7/4/2022","2022/07/03-2022/07/04",1,"challenging, emotional, relaxing, sad","slow","Character","N/A","N/A","N/A","N/A",4,"","",NA,NA,"Yes"," Poet Ocean Vuong\'s debut novel is a shattering portrait of a family, a first love, and the redemptive power of storytelling On Earth We\'re Briefly Gorgeous is a letter from a son to a mother who cannot read. Written when the speaker, Little Dog, is in his late twenties, the letter unearths a family\'s history that began before he was born -- a history whose epicenter is rooted in Vietnam -- and serves as a doorway into parts of his life his mother has never known, all of it leading to an unforgettable revelation. At once a witness to the fraught yet undeniable love between a single mother and her son, it is also a brutally honest exploration of race, class, and masculinity. Asking questions central to our American moment, immersed as we are in addiction, violence, and trauma, but undergirded by compassion and tenderness, On Earth We\'re Briefly Gorgeous is as much about the power of telling one\'s own story as it is about the obliterating silence of not being heard. With stunning urgency and grace, Ocean Vuong writes of people caught between disparate worlds, and asks how we heal and rescue one another without forsaking who we are. The question of how to survive, and how to make of it a kind of joy, powers the most important debut novel of many years. ",42.18,0,1,0,1,0,0,0,0,0,0,0,1,1,0,"Yes"
"141",178,"https://app.thestorygraph.com/books/1b992110-1eb6-4833-9cea-efd1e1c00133","Foul Heart Huntsman","Chloe Gong","","9.78E+12","hardcover","read","10/27/2023","10/28/2023","2023/10/26-2023/10/28",1,"adventurous, emotional, mysterious","medium","A mix","Yes","Yes","Yes","Yes",4,"","",NA,NA,"Yes","From the #1 New York Times bestselling author of These Violent Delights and Our Violent Ends comes the second book in the captivating Foul Lady Fortune duology following an immortal assassin in 1930s Shanghai as she races to save her country and her love.Winter is drawing thick in 1932 Shanghai, as is the ever-nearing threat of a Japanese invasion.Rosalind Lang has suffered the worst possible fate for a national spy: she’s been exposed. With the media storm camped outside her apartment for the infamous Lady Fortune, she’s barely left her bedroom in weeks, plotting her next course of action after Orion was taken and his memories of Rosalind wiped. Though their marriage might have been a sham, his absence hurts her more than any physical wound. She won’t rest until she gets him back.But with her identity in the open, the task is near impossible. The only way to leave the city and rescue Orion is under the guise of a national tour. It’s easy to convince her superiors that the countryside needs unity more than ever, and who better than an immortal girl to stir pride and strength into the people?When the tour goes wrong, however, everything Rosalind once knew is thrown up in the air. Taking refuge outside Shanghai, old ghosts come into the open and adversaries turn to allies. To save Orion, they must find a cure to his mother’s traitorous invention and take this dangerous chemical weapon away from impending foreign invasion—but the clock is ticking, and if Rosalind fails, it’s not only Orion she loses, but her nation itself.",46.44,1,0,0,1,0,0,0,0,0,1,0,0,0,0,"Yes"
"200",251,"https://app.thestorygraph.com/books/6d74f9d0-c0ad-40f8-abc2-3d8016467c1d","The Fifth Season","N.K. Jemisin","","9.78E+12","paperback","read","7/7/2022","6/22/2023","2023/06/18-2023/06/22",1,"adventurous, dark, emotional, mysterious","medium","A mix","Yes","Yes","Yes","Yes",5,"","",NA,NA,"Yes","At the end of the world, a woman must hide her secret power and find her kidnapped daughter.This is the way the world ends. . .for the last time.It starts with the great red rift across the heart of the world\'s sole continent, spewing ash that blots out the sun. It starts with death, with a murdered son and a missing daughter. It starts with betrayal, and long dormant wounds rising up to fester.&nbsp;This is the Stillness, a land long familiar with catastrophe, where the power of the earth is wielded as a weapon. And where there is no mercy.",71.68,1,0,1,1,0,0,0,0,0,1,0,0,0,0,"Yes"
"363",450,"https://app.thestorygraph.com/books/b7b36504-f33f-4b34-8221-6f108f3696f8","Let's Go Let's Go Let's Go","Cleo Qian","","9.78E+12","paperback","read","12/1/2023","12/1/2023","2023/11/30-2023/12/01",1,"challenging, dark, emotional, reflective","fast","N/A","N/A","It's complicated","Yes","Yes",4.5,"","",NA,NA,"No","The electric, unsettling, and often surreal stories in LET’S GO LET’S GO LET’S GO explore the alienated, technology-mediated lives of restless Asian and Asian American women today. A woman escapes into dating simulations to forget her best friend’s abandonment; a teenager begins to see menacing omens on others’ bodies after her double eyelid surgery; reunited schoolmates are drawn into the Japanese mountains to participate in an uncanny social experiment; a supernatural karaoke machine becomes a K-pop star’s channel for redemption. In every story, characters refuse dutiful, docile stereotypes. They are ready to explode, to question conventions. Their compulsions tangle with unrequited longing and queer desire in their search for something ineffable across cities, countries, and virtual worlds.With precision and provocation, Cleo Qian’s immersive debut jolts us into the reality of lives fragmented by screens, relentless consumer culture, and the flattening pressures of modern society—and asks how we might hold on to tenderness against the impulses within us.",22.68,0,1,1,1,0,0,0,0,0,0,1,0,0,0,"Yes"
"314",392,"https://app.thestorygraph.com/books/a4441716-ce67-4eb8-9ed3-38454151bd30","The Darkness Outside Us","Eliot Schrefer","","9.78E+12","digital","read","5/10/2023","10/5/2023","2023/10/04-2023/10/05",1,"adventurous, challenging, dark, mysterious, sad, tense","medium","A mix","Yes","Yes","Yes","Yes",4,"","",NA,NA,"No","They Both Die at the End meets The Loneliest Girl in the Universe in this mind-bending sci-fi mystery and tender love story about two boys aboard a spaceship sent on a rescue mission, from two-time National Book Award finalist Eliot Schrefer.Two boys, alone in space. Sworn enemies sent on the same rescue mission.Ambrose wakes up on the Coordinated Endeavor with no memory of a launch. There’s more that doesn’t add up: evidence indicates strangers have been on board, the ship’s operating system is voiced by his mother, and his handsome, brooding shipmate has barricaded himself away. But nothing will stop Ambrose from making his mission succeed—not when he’s rescuing his own sister.In order to survive the ship’s secrets, Ambrose and Kodiak will need to work together and learn to trust each other . . . especially once they discover what they are truly up against. Love might be the only way to survive.",49.49,1,1,1,0,0,0,0,0,0,1,0,0,1,1,"Yes"
"169",215,"https://app.thestorygraph.com/books/611ed85b-f358-45e2-ab09-b1775598df40","Legendborn","Tracy Deonn","","9.78E+12","hardcover","read","4/1/2022","4/1/2022","2022/03/31-2022/04/01",1,"adventurous, challenging, emotional, inspiring, mysterious, tense","fast","A mix","Yes","Yes","Yes","Yes",5,"","",NA,NA,"Yes","After her mother dies in an accident, sixteen-year-old Bree Matthews wants nothing to do with her family memories or childhood home. A residential program for bright high schoolers at UNC-Chapel Hill seems like the perfect escape—until Bree witnesses a magical attack her very first night on campus.&nbsp;A flying demon feeding on human energies.&nbsp;A secret society of so called \""""Legendborn\"""" students that hunt the creatures down.&nbsp;And a mysterious teenage mage who calls himself a \""""Merlin\"""" and who attempts—and fails—to wipe Bree\'s memory of everything she saw.&nbsp;The mage\'s failure unlocks Bree\'s own unique magic and a buried memory with a hidden connection: the night her mother died, another Merlin was at the hospital. Now that Bree knows there\'s more to her mother\'s death than what\'s on the police report, she\'ll do whatever it takes to find out the truth, even if that means infiltrating the Legendborn as one of their initiates.&nbsp;She recruits Nick, a self-exiled Legendborn with his own grudge against the group, and their reluctant partnership pulls them deeper into the society\'s secrets—and closer to each other. But when the Legendborn reveal themselves as the descendants of King Arthur\'s knights and explain that a magical war is coming, Bree has to decide how far she\'ll go for the truth and whether she should use her magic to take the society down—or join the fight.",23.3,1,1,0,1,0,0,0,1,0,1,0,0,0,1,"Yes"
"265",334,"https://app.thestorygraph.com/books/8bdeb7d3-0161-4c39-b877-420601a66bb7","Once Upon a Broken Heart","Stephanie Garber","","9.78E+12","hardcover","read","9/15/2022","9/19/2022","2022/09/18-2022/09/19",1,"adventurous, mysterious","fast","A mix","Yes","Yes","No","Yes",4,"","",NA,NA,"No","Once Upon a Broken Heart marks the launch of a new series about love, curses, and the lengths that people will go to for happily ever after from Stephanie Garber, the #1 New York Times bestselling author of CaravalFor as long as she can remember, Evangeline Fox has believed in true love and happy endings…until she learns that the love of her life will marry another.Desperate to stop the wedding and to heal her wounded heart, Evangeline strikes a deal with the charismatic, but wicked, Prince of Hearts. In exchange for his help, he asks for three kisses, to be given at the time and place of his choosing.But after Evangeline’s first promised kiss, she learns that bargaining with an immortal is a dangerous game — and that the Prince of Hearts wants far more from her than she’d pledged. He has plans for Evangeline, plans that will either end in the greatest happily ever after, or the most exquisite tragedy...",33.89,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"Yes"
"94",121,"https://app.thestorygraph.com/books/382a4162-eab8-420d-8141-367438922d04","A Neon Darkness","Lauren Shippen","","9.78E+12","hardcover","read","2/7/2022","","",1,"challenging, dark, emotional, tense","medium","Character","It's complicated","It's complicated","Yes","Yes",3.75,"","Graphic: Death; ",NA,NA,"No","A Neon Darkness, the second Bright Sessions novel from creator Lauren Shippen, asks: \""""What if the X-Men, instead of becoming superheroes, decided to spend some time in therapy?\"""" (Vox)  Robert Gorham always gets what he wants. But the power of persuasion is as potent a blessing as it is a curse. Robert is alone until a group of strangers who can do impossible things--produce flames without flint, conduct electricity with their hands, and see visions of the past--welcome him. They call themselves Unusuals and they give Robert a new name too: DAMIEN. Finally, finally he belongs. As long as he can keep his power under control. But control is a sacrifice he might not be willing to make.",71.24,0,1,1,1,0,0,0,0,0,0,0,0,0,1,"Yes"
"449",560,"https://app.thestorygraph.com/books/e8a80c99-9b6d-4971-ac66-9cc71bee7e55","A Guide to the Dark","Meriam Metoui","","9.78E+12","digital","read","1/30/2024","2/2/2024","2024/01/29-2024/02/02",1,"dark, emotional, mysterious, reflective","medium","A mix","Yes","Yes","Yes","Yes",3.5,"","",NA,NA,"No","The Haunting of Hill House meets Nina LaCour in this spine-chilling horror YA about the ghosts we carry with us.Something is building, simmering just out of reach.The room is watching. But Mira and Layla don\'t know this yet. When the two best friends are stranded on their spring break college tour road trip, they find themselves at the Wildwood Motel, located in the middle of nowhere, Indiana. Mira can\'t shake the feeling that there is something wrong and rotten about their room. Inside, she\'s haunted by nightmares of her dead brother. When she wakes up, he\'s still there.Layla doesn\'t see him. Or notice anything suspicious about Room 9. The place may be a little run down, but it has a certain charm she can’t wait to capture on camera. If Layla is being honest, she’s too preoccupied with confusing feelings for Mira to see much else. But when they learn eight people died in that same room, they realize there must be a connection between the deaths and the unexplainable things that keep happening inside it. They just have to find the connection before Mira becomes the ninth.Including over fiften black and white photos throughout the story, readers won\'t be able to put down this edge-of-your-seat thriller!",69.31,0,0,1,1,0,0,0,0,0,1,1,0,0,0,"No"
"266",335,"https://app.thestorygraph.com/books/8c48ab83-c9ca-42ca-bf3a-3101e36c13c6","Once Upon a K-Prom","Kat Cho","","9.78E+12","hardcover","read","7/23/2022","7/23/2022","2022/07/22-2022/07/23",1,"emotional, funny, lighthearted","medium","Character","It's complicated","Yes","It's complicated","Yes",3.5,"","",NA,NA,"Yes","What would you do if the world’s biggest K-pop star asked you to prom? Perfect for fans of Jenny Han and Sandhya Menon, this hilarious and heartfelt novel brings the glamour and drama of the K-pop world straight to high school.\n\nElena Soo has always felt overshadowed. Whether by her more successful older sisters, her more popular twin brother, or her more outgoing best friend, everyone except Elena seems to know exactly who they are and what they want. But she is certain about one thing – she has no interest in going to prom. While the rest of the school is giddy over corsages and dresses, Elena would rather spend her time working to save the local community center, the one place that’s always made her feel like she belonged.\n\nSo when international K-pop superstar Robbie Choi shows up at her house to ask her to prom, Elena is more confused than ever. Because the one person who always accepted Elena as she is? Her childhood best friend, Robbie Choi. And the one thing she maybe, possibly, secretly wants more than anything? For the two of them to keep the promise they made each other as kids: to go to prom together. But that was seven year ago, and with this new K-pop persona, pink hair, and stylish clothes, Robbie is nothing like the sweet, goofy boy she remembers. The boy she shared all her secrets with. The boy she used to love.\n\nBesides, prom with a guy who comes with hordes of screaming fans, online haters, and relentless paparazzi is the last thing Elena wants – even if she can’t stop thinking about Robbie’s smile…right?",73.71,0,0,0,1,1,0,0,0,1,0,0,0,0,0,"No"
